site,point_de_prelevement,date,heure,e_coli_npp_100ml,enterocoques_npp_100ml,id_point_prelevement,desc_point_prelevement
PLAGE DE L'ANSE VATA,"P18053, Face Fun Beach (milieu de plage)",2026-08-03,07:56,84.0,10.0,P18053,Face Fun Beach (milieu de plage)
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2026-08-03,07:59,144.0,10.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-08-03,08:05,292.0,10.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-08-03,08:15,435.0,63.0,P18056,Face Nouvata Park hotel
PLAGE DE LA POINTE MAGNIN,"P18057, Face escalier d'accès",2026-08-03,08:22,10.0,10.0,P18057,Face escalier d'accès
PLAGE DE LA POINTE MAGNIN,"P18058, Face piscine Royal Tera Hotel",2026-08-03,08:24,75.0,10.0,P18058,Face piscine Royal Tera Hotel
PLAGE DE MAGENTA,"P18031, Face douche Lions Club",2026-08-03,08:55,31.0,10.0,P18031,Face douche Lions Club
PLAGE DE MAGENTA,"P18032, Face bout de piste aérodrome",2026-08-03,09:05,41.0,20.0,P18032,Face bout de piste aérodrome
PLAGE DE MAGENTA,"P18043, Face Les Hélices",2026-08-03,09:13,158.0,51.0,P18043,Face Les Hélices
PLAGE DE LA PROMENADE PIERRE VERNIER,"P18059, anse des Hobie Cats (milieu)",2026-08-06,08:38,96.0,10.0,P18059,anse des Hobie Cats (milieu)
PLAGE DU KUENDU BEACH,"P18048, Face entrée du Kuendu Beach",2026-08-06,09:08,256.0,10.0,P18048,Face entrée du Kuendu Beach
PLAGE DE LA BAIE DES CITRONS,"P18050, Face allée centrale Mirage plaza",2026-08-10,06:55,156.0,84.0,P18050,Face allée centrale Mirage plaza
PLAGE DE LA BAIE DES CITRONS,"P18141, Face la Guinche",2026-08-10,07:00,160.0,10.0,P18141,Face la Guinche
PLAGE DE L'ANSE VATA,"P18053, Face Fun Beach (milieu de plage)",2026-08-10,07:15,146.0,10.0,P18053,Face Fun Beach (milieu de plage)
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2026-08-10,07:20,318.0,10.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-08-10,07:25,246.0,10.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-08-10,07:30,368.0,41.0,P18056,Face Nouvata Park hotel
PLAGE DE LA POINTE MAGNIN,"P18058, Face piscine Royal Tera Hotel",2026-08-10,07:40,51.0,10.0,P18058,Face piscine Royal Tera Hotel
PLAGE DE LA POINTE MAGNIN,"P18057, Face escalier d'accès",2026-08-10,07:45,52.0,10.0,P18057,Face escalier d'accès
PLAGE DE MAGENTA,"P18031, Face douche Lions Club",2026-08-10,08:20,73.0,20.0,P18031,Face douche Lions Club
PLAGE DE MAGENTA,"P18032, Face bout de piste aérodrome",2026-08-10,08:25,399.0,275.0,P18032,Face bout de piste aérodrome
PLAGE DE MAGENTA,"P18043, Face Les Hélices",2026-08-10,08:30,213.0,75.0,P18043,Face Les Hélices
PLAGE DE LA BAIE DES CITRONS,"P18049, Face The Beach House",2026-08-13,06:50,97.0,10.0,P18049,Face The Beach House
PLAGE DE LA BAIE DES CITRONS,"P18050, Face allée centrale Mirage plaza",2026-08-13,06:55,20.0,41.0,P18050,Face allée centrale Mirage plaza
PLAGE DE LA BAIE DES CITRONS,"P18141, Face la Guinche",2026-08-13,07:00,131.0,52.0,P18141,Face la Guinche
PLAGE DE L'ANSE VATA,"P18053, Face Fun Beach (milieu de plage)",2026-08-13,07:05,96.0,10.0,P18053,Face Fun Beach (milieu de plage)
PLAGE DE L'ANSE VATA,"P18054, Face Burger king",2026-08-13,07:10,132.0,31.0,P18054,Face Burger king
PLAGE DE L'ANSE VATA,"P18055, Face Communauté du Pacifique",2026-08-13,07:15,279.0,63.0,P18055,Face Communauté du Pacifique
PLAGE DE L'ANSE VATA,"P18056, Face Nouvata Park hotel",2026-08-13,07:20,141.0,20.0,P18056,Face Nouvata Park hotel
PLAGE DE LA POINTE MAGNIN,"P18058, Face piscine Royal Tera Hotel",2026-08-13,07:30,168.0,10.0,P18058,Face piscine Royal Tera Hotel
PLAGE DE LA POINTE MAGNIN,"P18057, Face escalier d'accès",2026-08-13,07:35,86.0,20.0,P18057,Face escalier d'accès
PLAGE DE LA PROMENADE PIERRE VERNIER,"P18060, anse de la pointe (milieu)",2026-08-13,07:50,62.0,10.0,P18060,anse de la pointe (milieu)
